,W,H,C_IN,KERNEL,C_OUT,STRIDE,PAD,,Layer name
InceptionV3,73,73,64,1,80,1,0,,Conv2d_3b
InceptionV3,35,35,192,1,64,1,0,,Branch_0_Conv2d_0a
InceptionV3,35,35,192,1,48,1,0,,Branch_1_Conv2d_0a
InceptionV3,35,35,192,1,64,1,0,,Branch_2_Conv2d_0a
InceptionV3,35,35,192,1,32,1,0,,Branch_3_Conv2d_0b
InceptionV3,35,35,256,1,64,1,0,,Branch_0_Conv2d_0a
InceptionV3,35,35,256,1,48,1,0,,Branch_1_Conv2d_0b
InceptionV3,35,35,256,1,64,1,0,,Branch_2_Conv2d_0a
InceptionV3,35,35,256,1,64,1,0,,Branch_3_Conv2d_0b
InceptionV3,35,35,288,1,64,1,0,,Branch_0_Conv2d_0a
InceptionV3,35,35,288,1,48,1,0,,Branch_1_Conv2d_0a
InceptionV3,35,35,288,1,64,1,0,,Branch_2_Conv2d_0a
InceptionV3,35,35,288,1,64,1,0,,Branch_3_Conv2d_0b
InceptionV3,35,35,288,1,64,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,128,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,128,1,0,,Branch_2_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,160,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,160,1,0,,Branch_2_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,160,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,160,1,0,,Branch_2_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_2_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_1_Conv2d_0a
InceptionV3,8,8,1280,1,320,1,0,,Branch_0_Conv2d_0a
InceptionV3,8,8,1280,1,384,1,0,,Branch_1_Conv2d_0a
InceptionV3,8,8,1280,1,448,1,0,,Branch_2_Conv2d_0a
InceptionV3,8,8,1280,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,8,8,2048,1,320,1,0,,Branch_0_Conv2d_0a
InceptionV3,8,8,2048,1,384,1,0,,Branch_1_Conv2d_0a
InceptionV3,8,8,2048,1,448,1,0,,Branch_2_Conv2d_0a
InceptionV3,8,8,2048,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,1,1,2048,1,1001,1,0,,Logits_Conv2d_1c
InceptionV3,35,35,48,5,64,1,2,,Branch_1_Conv2d_0b
InceptionV3,35,35,48,5,64,1,2,,Branch_1_Conv_1_0c
InceptionV3,35,35,48,5,64,1,2,,Branch_1_Conv2d_0b
InceptionV3,299,299,3,3,32,2,0,,Conv2d_1a
InceptionV3,149,149,32,3,32,1,0,,Conv2d_2a
InceptionV3,147,147,32,3,64,1,1,,Conv2d_2b
InceptionV3,73,73,80,3,192,1,0,,Conv2d_4a
InceptionV3,35,35,64,3,96,1,1,,Branch_2_Conv2d_0b
InceptionV3,35,35,96,3,96,1,1,,Branch_2_Conv2d_0c
InceptionV3,35,35,64,3,96,1,1,,Branch_2_Conv2d_0b
InceptionV3,35,35,96,3,96,1,1,,Branch_2_Conv2d_0c
InceptionV3,35,35,64,3,96,1,1,,Branch_2_Conv2d_0b
InceptionV3,35,35,96,3,96,1,1,,Branch_2_Conv2d_0c
InceptionV3,35,35,288,3,384,2,0,,Branch_0_Conv2d_1a
InceptionV3,35,35,64,3,96,1,1,,Branch_1_Conv2d_0b
InceptionV3,35,35,96,3,96,2,0,,Branch_1_Conv2d_1a
InceptionV3,17,17,192,3,320,2,0,,Branch_0_Conv2d_1a
InceptionV3,17,17,192,3,192,2,0,,Branch_1_Conv2d_1a
InceptionV3,8,8,448,3,384,1,1,,Branch_2_Conv2d_0b
InceptionV3,8,8,448,3,384,1,1,,Branch_2_Conv2d_0b
Inception-v3,299,299,3,3,32,2,0,,conv_conv2d
,149,149,32,3,32,1,0,,conv_1_1/conv2d
,147,147,32,3,64,1,1,,conv_2_2/conv2d
,73,73,64,1,80,1,0,,conv_3_3/conv2d
,17,17,768,1,128,1,0,,mixed_4/tower_1_conv_conv2d
,,,,,,,,
MobileNet_1.0_224,1,1,1024,1,1001,1,0,,Logits_Conv2d_1c_1x1  
MobileNet_1.0_224,112,112,32,1,64,1,0,,Conv2d_1
MobileNet_1.0_224,14,14,256,1,512,1,0,,Conv2d_6
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_10
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_11
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_7
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_8
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_9
MobileNet_1.0_224,28,28,128,1,256,1,0,,Conv2d_4
MobileNet_1.0_224,28,28,256,1,256,1,0,,Conv2d_5
MobileNet_1.0_224,56,56,128,1,128,1,0,,Conv2d_3
MobileNet_1.0_224,56,56,64,1,128,1,0,,Conv2d_2
MobileNet_1.0_224,7,7,1024,1,1024,1,0,,Conv2d_13
MobileNet_1.0_224,7,7,512,1,1024,1,0,,Conv2d_12
,,,,,,,,
MobileNet_1.0_192,1,1,1024,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_1.0_192,12,12,256,1,512,1,0,,Conv2d_6
MobileNet_1.0_192,12,12,512,1,512,1,0,,Conv2d_10
MobileNet_1.0_192,12,12,512,1,512,1,0,,Conv2d_11
MobileNet_1.0_192,12,12,512,1,512,1,0,,Conv2d_7
MobileNet_1.0_192,12,12,512,1,512,1,0,,Conv2d_8
MobileNet_1.0_192,12,12,512,1,512,1,0,,Conv2d_9
MobileNet_1.0_192,24,24,128,1,256,1,0,,Conv2d_4
MobileNet_1.0_192,24,24,256,1,256,1,0,,Conv2d_5
MobileNet_1.0_192,48,48,128,1,128,1,0,,Conv2d_3
MobileNet_1.0_192,48,48,64,1,128,1,0,,Conv2d_2
MobileNet_1.0_192,6,6,1024,1,1024,1,0,,Conv2d_13
MobileNet_1.0_192,6,6,512,1,1024,1,0,,Conv2d_12
MobileNet_1.0_192,96,96,32,1,64,1,0,,Conv2d_1
MobileNet_1.0_192,192,192,3,3,32,2,0,,Conv2d_0
,,,,,,,,
MobileNet_1.0_160,160,160,3,3,32,2,0,,Conv2d_0
MobileNet_1.0_160,1,1,1024,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_1.0_160,10,10,256,1,512,1,0,,Conv2d_6
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_10
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_11
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_7
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_8
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_9
MobileNet_1.0_160,20,20,128,1,256,1,0,,Conv2d_4
MobileNet_1.0_160,20,20,256,1,256,1,0,,Conv2d_5
MobileNet_1.0_160,40,40,128,1,128,1,0,,Conv2d_3
MobileNet_1.0_160,40,40,64,1,128,1,0,,Conv2d_2
MobileNet_1.0_160,5,5,1024,1,1024,1,0,,Conv2d_13
MobileNet_1.0_160,5,5,512,1,1024,1,0,,Conv2d_12
MobileNet_1.0_160,80,80,32,1,64,1,0,,Conv2d_1
,,,,,,,,
MobileNet_1.0_128,128,128,3,3,32,2,0,,Conv2d_0
MobileNet_1.0_128,1,1,1024,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_1.0_128,16,16,128,1,256,1,0,,Conv2d_4
MobileNet_1.0_128,16,16,256,1,256,1,0,,Conv2d_5
MobileNet_1.0_128,32,32,128,1,128,1,0,,Conv2d_3
MobileNet_1.0_128,32,32,64,1,128,1,0,,Conv2d_2
MobileNet_1.0_128,4,4,1024,1,1024,1,0,,Conv2d_13
MobileNet_1.0_128,4,4,512,1,1024,1,0,,Conv2d_12
MobileNet_1.0_128,64,64,32,1,64,1,0,,Conv2d_1
MobileNet_1.0_128,8,8,256,1,512,1,0,,Conv2d_6
MobileNet_1.0_128,8,8,512,1,512,1,0,,Conv2d_10
MobileNet_1.0_128,8,8,512,1,512,1,0,,Conv2d_11
MobileNet_1.0_128,8,8,512,1,512,1,0,,Conv2d_7
MobileNet_1.0_128,8,8,512,1,512,1,0,,Conv2d_8
MobileNet_1.0_128,8,8,512,1,512,1,0,,Conv2d_9
,,,,,,,,
MobileNet_0.75_224,1,1,768,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_0.75_224,112,112,24,1,48,1,0,,Conv2d_1
MobileNet_0.75_224,14,14,192,1,384,1,0,,Conv2d_6
MobileNet_0.75_224,14,14,384,1,384,1,0,,Conv2d_10
MobileNet_0.75_224,14,14,384,1,384,1,0,,Conv2d_11
MobileNet_0.75_224,14,14,384,1,384,1,0,,Conv2d_7
MobileNet_0.75_224,14,14,384,1,384,1,0,,Conv2d_8
MobileNet_0.75_224,14,14,384,1,384,1,0,,Conv2d_9
MobileNet_0.75_224,28,28,192,1,192,1,0,,Conv2d_5
MobileNet_0.75_224,28,28,96,1,192,1,0,,Conv2d_4
MobileNet_0.75_224,56,56,48,1,96,1,0,,Conv2d_2
MobileNet_0.75_224,56,56,96,1,96,1,0,,Conv2d_3
MobileNet_0.75_224,7,7,384,1,768,1,0,,Conv2d_12
MobileNet_0.75_224,7,7,768,1,768,1,0,,Conv2d_13
MobileNet_0.75_224,224,224,3,3,24,2,0,,Conv2d_0
,,,,,,,,
MobileNet_0.75_192,192,192,3,3,24,2,0,,Conv2d_0
MobileNet_0.75_192,1,1,768,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_0.75_192,12,12,192,1,384,1,0,,Conv2d_6
MobileNet_0.75_192,12,12,384,1,384,1,0,,Conv2d_10
MobileNet_0.75_192,12,12,384,1,384,1,0,,Conv2d_11
MobileNet_0.75_192,12,12,384,1,384,1,0,,Conv2d_7
MobileNet_0.75_192,12,12,384,1,384,1,0,,Conv2d_8
MobileNet_0.75_192,12,12,384,1,384,1,0,,Conv2d_9
MobileNet_0.75_192,24,24,192,1,192,1,0,,Conv2d_5
MobileNet_0.75_192,24,24,96,1,192,1,0,,Conv2d_4
MobileNet_0.75_192,48,48,48,1,96,1,0,,Conv2d_2
MobileNet_0.75_192,48,48,96,1,96,1,0,,Conv2d_3
MobileNet_0.75_192,6,6,384,1,768,1,0,,Conv2d_12
MobileNet_0.75_192,6,6,768,1,768,1,0,,Conv2d_13
MobileNet_0.75_192,96,96,24,1,48,1,0,,Conv2d_1
,,,,,,,,
MobileNet_0.75_160,1,1,768,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_0.75_160,160,160,3,3,24,2,0,,Conv2d_0
MobileNet_0.75_160,10,10,192,1,384,1,0,,Conv2d_6
MobileNet_0.75_160,10,10,384,1,384,1,0,,Conv2d_10
MobileNet_0.75_160,10,10,384,1,384,1,0,,Conv2d_11
MobileNet_0.75_160,10,10,384,1,384,1,0,,Conv2d_7
MobileNet_0.75_160,10,10,384,1,384,1,0,,Conv2d_8
MobileNet_0.75_160,10,10,384,1,384,1,0,,Conv2d_9
MobileNet_0.75_160,20,20,192,1,192,1,0,,Conv2d_5
MobileNet_0.75_160,20,20,96,1,192,1,0,,Conv2d_4
MobileNet_0.75_160,40,40,48,1,96,1,0,,Conv2d_2
MobileNet_0.75_160,40,40,96,1,96,1,0,,Conv2d_3
MobileNet_0.75_160,5,5,384,1,768,1,0,,Conv2d_12
MobileNet_0.75_160,5,5,768,1,768,1,0,,Conv2d_13
MobileNet_0.75_160,80,80,24,1,48,1,0,,Conv2d_1
MobileNet_0.75_160,160,160,3,3,24,2,0,,Conv2d_0
MobileNet_0.75_160,80,80,24,1,48,1,0,,Conv2d_1
MobileNet_0.75_160,40,40,48,1,96,1,0,,Conv2d_2
MobileNet_0.75_160,40,40,96,1,96,1,0,,Conv2d_3
MobileNet_0.75_160,20,20,96,1,192,1,0,,Conv2d_4
MobileNet_0.75_160,20,20,192,1,192,1,0,,Conv2d_5
MobileNet_0.75_160,10,10,192,1,384,1,0,,Conv2d_6
MobileNet_0.75_160,10,10,384,1,384,1,0,,Conv2d_7
MobileNet_0.75_160,10,10,384,1,384,1,0,,Conv2d_8
MobileNet_0.75_160,10,10,384,1,384,1,0,,Conv2d_9
MobileNet_0.75_160,10,10,384,1,384,1,0,,Conv2d_10
MobileNet_0.75_160,10,10,384,1,384,1,0,,Conv2d_11
MobileNet_0.75_160,5,5,384,1,768,1,0,,Conv2d_12
MobileNet_0.75_160,5,5,768,1,768,1,0,,Conv2d_13
MobileNet_0.75_160,1,1,768,1,1001,1,0,,Logits_Conv2d_1c_1x1
,,,,,,,,
MobileNet_0.75_128,128,128,3,3,24,2,0,,Conv2d_0
MobileNet_0.75_128,1,1,768,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_0.75_128,16,16,192,1,192,1,0,,Conv2d_5
MobileNet_0.75_128,16,16,96,1,192,1,0,,Conv2d_4
MobileNet_0.75_128,32,32,48,1,96,1,0,,Conv2d_2
MobileNet_0.75_128,32,32,96,1,96,1,0,,Conv2d_3
MobileNet_0.75_128,4,4,384,1,768,1,0,,Conv2d_12
MobileNet_0.75_128,4,4,768,1,768,1,0,,Conv2d_13
MobileNet_0.75_128,64,64,24,1,48,1,0,,Conv2d_1
MobileNet_0.75_128,8,8,192,1,384,1,0,,Conv2d_6
MobileNet_0.75_128,8,8,384,1,384,1,0,,Conv2d_10
MobileNet_0.75_128,8,8,384,1,384,1,0,,Conv2d_11
MobileNet_0.75_128,8,8,384,1,384,1,0,,Conv2d_7
MobileNet_0.75_128,8,8,384,1,384,1,0,,Conv2d_8
MobileNet_0.75_128,8,8,384,1,384,1,0,,Conv2d_9
,,,,,,,,
MobileNet_0.50_224,224,224,3,3,16,2,0,,Conv2d_0
MobileNet_0.50_224,1,1,512,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_0.50_224,112,112,16,1,32,1,0,,Conv2d_1
MobileNet_0.50_224,14,14,128,1,256,1,0,,Conv2d_6
MobileNet_0.50_224,14,14,256,1,256,1,0,,Conv2d_10
MobileNet_0.50_224,14,14,256,1,256,1,0,,Conv2d_11
MobileNet_0.50_224,14,14,256,1,256,1,0,,Conv2d_7
MobileNet_0.50_224,14,14,256,1,256,1,0,,Conv2d_8
MobileNet_0.50_224,14,14,256,1,256,1,0,,Conv2d_9
MobileNet_0.50_224,28,28,128,1,128,1,0,,Conv2d_5
MobileNet_0.50_224,28,28,64,1,128,1,0,,Conv2d_4
MobileNet_0.50_224,56,56,32,1,64,1,0,,Conv2d_2
MobileNet_0.50_224,56,56,64,1,64,1,0,,Conv2d_3
MobileNet_0.50_224,7,7,256,1,512,1,0,,Conv2d_12
MobileNet_0.50_224,7,7,512,1,512,1,0,,Conv2d_13
,,,,,,,,
MobileNet_1.0_224,224,224,3,3,32,2,0,,Conv2d_0
MobileNet_1.0_224,224,224,3,3,32,2,0,,Conv2d_0
MobileNet_1.0_224,112,112,32,1,64,1,0,,Conv2d_1
MobileNet_1.0_224,56,56,64,1,128,1,0,,Conv2d_2
MobileNet_1.0_224,56,56,128,1,128,1,0,,Conv2d_3
MobileNet_1.0_224,28,28,128,1,256,1,0,,Conv2d_4
MobileNet_1.0_224,28,28,256,1,256,1,0,,Conv2d_5
MobileNet_1.0_224,14,14,256,1,512,1,0,,Conv2d_6
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_7
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_8
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_9
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_10
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_11
MobileNet_1.0_224,7,7,512,1,1024,1,0,,Conv2d_12
MobileNet_1.0_224,7,7,1024,1,1024,1,0,,Conv2d_13
MobileNet_1.0_224,1,1,1024,1,1001,1,0,,Logits_Conv2d_1c_1x1
,,,,,,,,
MobileNet_0.50_192,192,192,3,3,16,2,0,,Conv2d_0
MobileNet_0.50_192,1,1,512,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_0.50_192,12,12,128,1,256,1,0,,Conv2d_6
MobileNet_0.50_192,12,12,256,1,256,1,0,,Conv2d_10
MobileNet_0.50_192,12,12,256,1,256,1,0,,Conv2d_11
MobileNet_0.50_192,12,12,256,1,256,1,0,,Conv2d_7
MobileNet_0.50_192,12,12,256,1,256,1,0,,Conv2d_8
MobileNet_0.50_192,12,12,256,1,256,1,0,,Conv2d_9
MobileNet_0.50_192,24,24,128,1,128,1,0,,Conv2d_5
MobileNet_0.50_192,24,24,64,1,128,1,0,,Conv2d_4
MobileNet_0.50_192,48,48,32,1,64,1,0,,Conv2d_2
MobileNet_0.50_192,48,48,64,1,64,1,0,,Conv2d_3
MobileNet_0.50_192,6,6,256,1,512,1,0,,Conv2d_12
MobileNet_0.50_192,6,6,512,1,512,1,0,,Conv2d_13
MobileNet_0.50_192,96,96,16,1,32,1,0,,Conv2d_1
,,,,,,,,
MobileNet_0.50_160,160,160,3,3,16,2,0,,Conv2d_0
MobileNet_0.50_160,1,1,512,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_0.50_160,10,10,128,1,256,1,0,,Conv2d_6
MobileNet_0.50_160,10,10,256,1,256,1,0,,Conv2d_10
MobileNet_0.50_160,10,10,256,1,256,1,0,,Conv2d_11
MobileNet_0.50_160,10,10,256,1,256,1,0,,Conv2d_7
MobileNet_0.50_160,10,10,256,1,256,1,0,,Conv2d_8
MobileNet_0.50_160,10,10,256,1,256,1,0,,Conv2d_9
MobileNet_0.50_160,20,20,128,1,128,1,0,,Conv2d_5
MobileNet_0.50_160,20,20,64,1,128,1,0,,Conv2d_4
MobileNet_0.50_160,40,40,32,1,64,1,0,,Conv2d_2
MobileNet_0.50_160,40,40,64,1,64,1,0,,Conv2d_3
MobileNet_0.50_160,5,5,256,1,512,1,0,,Conv2d_12
MobileNet_0.50_160,5,5,512,1,512,1,0,,Conv2d_13
MobileNet_0.50_160,80,80,16,1,32,1,0,,Conv2d_1
,,,,,,,,
MobileNet_0.50_128,128,128,3,3,16,2,0,,Conv2d_0
MobileNet_0.50_128,1,1,512,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_0.50_128,16,16,128,1,128,1,0,,Conv2d_5
MobileNet_0.50_128,16,16,64,1,128,1,0,,Conv2d_4
MobileNet_0.50_128,32,32,32,1,64,1,0,,Conv2d_2
MobileNet_0.50_128,32,32,64,1,64,1,0,,Conv2d_3
MobileNet_0.50_128,4,4,256,1,512,1,0,,Conv2d_12
MobileNet_0.50_128,4,4,512,1,512,1,0,,Conv2d_13
MobileNet_0.50_128,64,64,16,1,32,1,0,,Conv2d_1
MobileNet_0.50_128,8,8,128,1,256,1,0,,Conv2d_6
MobileNet_0.50_128,8,8,256,1,256,1,0,,Conv2d_10
MobileNet_0.50_128,8,8,256,1,256,1,0,,Conv2d_11
MobileNet_0.50_128,8,8,256,1,256,1,0,,Conv2d_7
MobileNet_0.50_128,8,8,256,1,256,1,0,,Conv2d_8
MobileNet_0.50_128,8,8,256,1,256,1,0,,Conv2d_9
,,,,,,,,
MobileNet_0.25_224,224,224,3,3,8,2,0,,Conv2d_0
MobileNet_0.25_224,1,1,256,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_0.25_224,112,112,8,1,16,1,0,,Conv2d_1
MobileNet_0.25_224,14,14,128,1,128,1,0,,Conv2d_10
MobileNet_0.25_224,14,14,128,1,128,1,0,,Conv2d_11
MobileNet_0.25_224,14,14,128,1,128,1,0,,Conv2d_7
MobileNet_0.25_224,14,14,128,1,128,1,0,,Conv2d_8
MobileNet_0.25_224,14,14,128,1,128,1,0,,Conv2d_9
MobileNet_0.25_224,14,14,64,1,128,1,0,,Conv2d_6
MobileNet_0.25_224,28,28,32,1,64,1,0,,Conv2d_4
MobileNet_0.25_224,28,28,64,1,64,1,0,,Conv2d_5
MobileNet_0.25_224,56,56,16,1,32,1,0,,Conv2d_2
MobileNet_0.25_224,56,56,32,1,32,1,0,,Conv2d_3
MobileNet_0.25_224,7,7,128,1,256,1,0,,Conv2d_12
MobileNet_0.25_224,7,7,256,1,256,1,0,,Conv2d_13
,,,,,,,,
MobileNet_0.25_192,192,192,3,3,8,2,0,,Conv2d_0
MobileNet_0.25_192,1,1,256,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_0.25_192,12,12,128,1,128,1,0,,Conv2d_10
MobileNet_0.25_192,12,12,128,1,128,1,0,,Conv2d_11
MobileNet_0.25_192,12,12,128,1,128,1,0,,Conv2d_7
MobileNet_0.25_192,12,12,128,1,128,1,0,,Conv2d_8
MobileNet_0.25_192,12,12,128,1,128,1,0,,Conv2d_9
MobileNet_0.25_192,12,12,64,1,128,1,0,,Conv2d_6
MobileNet_0.25_192,24,24,32,1,64,1,0,,Conv2d_4
MobileNet_0.25_192,24,24,64,1,64,1,0,,Conv2d_5
MobileNet_0.25_192,48,48,16,1,32,1,0,,Conv2d_2
MobileNet_0.25_192,48,48,32,1,32,1,0,,Conv2d_3
MobileNet_0.25_192,6,6,128,1,256,1,0,,Conv2d_12
MobileNet_0.25_192,6,6,256,1,256,1,0,,Conv2d_13
MobileNet_0.25_192,96,96,8,1,16,1,0,,Conv2d_1
,,,,,,,,
MobileNet_0.25_160,160,160,3,3,8,2,0,,Conv2d_0
MobileNet_0.25_160,1,1,256,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_0.25_160,10,10,128,1,128,1,0,,Conv2d_10
MobileNet_0.25_160,10,10,128,1,128,1,0,,Conv2d_11
MobileNet_0.25_160,10,10,128,1,128,1,0,,Conv2d_7
MobileNet_0.25_160,10,10,128,1,128,1,0,,Conv2d_8
MobileNet_0.25_160,10,10,128,1,128,1,0,,Conv2d_9
MobileNet_0.25_160,10,10,64,1,128,1,0,,Conv2d_6
MobileNet_0.25_160,20,20,32,1,64,1,0,,Conv2d_4
MobileNet_0.25_160,20,20,64,1,64,1,0,,Conv2d_5
MobileNet_0.25_160,40,40,16,1,32,1,0,,Conv2d_2
MobileNet_0.25_160,40,40,32,1,32,1,0,,Conv2d_3
MobileNet_0.25_160,5,5,128,1,256,1,0,,Conv2d_12
MobileNet_0.25_160,5,5,256,1,256,1,0,,Conv2d_13
MobileNet_0.25_160,80,80,8,1,16,1,0,,Conv2d_1
,,,,,,,,
MobileNet_0.25_128,1,1,256,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_0.25_128,16,16,32,1,64,1,0,,Conv2d_4
MobileNet_0.25_128,16,16,64,1,64,1,0,,Conv2d_5
MobileNet_0.25_128,32,32,16,1,32,1,0,,Conv2d_2
MobileNet_0.25_128,32,32,32,1,32,1,0,,Conv2d_3
MobileNet_0.25_128,4,4,128,1,256,1,0,,Conv2d_12
MobileNet_0.25_128,4,4,256,1,256,1,0,,Conv2d_13
MobileNet_0.25_128,64,64,8,1,16,1,0,,Conv2d_1
MobileNet_0.25_128,8,8,128,1,128,1,0,,Conv2d_10
MobileNet_0.25_128,8,8,128,1,128,1,0,,Conv2d_11
MobileNet_0.25_128,8,8,128,1,128,1,0,,Conv2d_7
MobileNet_0.25_128,8,8,128,1,128,1,0,,Conv2d_8
MobileNet_0.25_128,8,8,128,1,128,1,0,,Conv2d_9
MobileNet_0.25_128,8,8,64,1,128,1,0,,Conv2d_6
MobileNet_0.25_128,128,128,3,3,8,2,0,,Conv2d_0
,,,,,,,,
ResNet-50,224,224,3,7,64,2,3,,conv1
,56,56,64,1,64,1,0,,res2a_branch2a
,56,56,256,1,64,1,0,,res2c_branch2a
,14,14,1024,1,256,1,0,,res4c_branch2a
,7,7,2048,1,512,1,0,,res5c_branch2a
,,,,,,,,,
AlexNet,227,227,3,11,96,4,0,,conv1
,27,27,96,5,256,1,2,,conv2
,13,13,256,3,384,1,1,,conv3
,13,13,384,3,384,1,1,,conv4
,13,13,384,3,256,1,1,,conv5
,,,,,,,,,
FCN-16s,500,500,3,3,64,1,1,,conv1_1
,250,250,64,3,128,1,1,,conv2_1
,63,63,256,3,512,1,1,,conv4_1
,,,,,,,,,
GoogLeNet,227,227,3,7,64,2,3,,conv1/7x7_s2
,28,28,192,1,16,1,1,,inception_3a/5x5_reduce
,28,28,16,5,32,1,2,,inception_3a/5x5
,,,,,,,,,
Network-in-Network,224,224,3,11,96,4,0,,conv1
,27,27,96,5,256,1,2,,conv2
,6,6,384,3,1024,1,1,,conv4-1024
,,,,,,,,,
VGG-16,112,112,128,3,128,1,1,,conv2_2